,demand,photovoltaic,wind,ecars
tX177,65845,56,18074,0.52579853
tX178,65946,445,18194,0.46012955
tX179,65953,1082,18158,0.3473308
tX180,66511,1737,17969,0.27697119
tX181,65669,2060,17313,0.33616261
tX182,64676,1701,16724,0.41255305
tX183,63879,1037,16644,0.46817065
tX184,63921,413,16029,0.48157248
tX185,64399,57,16797,0.57203484
tX186,65906,0,17086,0.75429975
tX187,65723,0,18392,0.92316283
tX188,64036,0,20013,1
tX189,61114,0,21481,0.9412553
tX190,58312,0,22674,0.76100067
tX191,57287,0,22798,0.58431986
tX192,53880,0,22918,0.47554166
tX193,51464,0,22493,0.34867099
tX194,50224,0,22293,0.19410319
tX195,48765,0,22667,0.10297074
tX196,48800,0,23854,0.04936341
tX197,49779,0,25176,0.02859057
tX198,52345,0,26534,0.02970739
tX199,57950,0,27529,0.11279875
tX200,63271,0,28256,0.27764128
tX201,67718,52,29037,0.52579853
tX202,68516,420,29788,0.46012955
tX203,68693,972,29866,0.3473308
tX204,68216,1397,29180,0.27697119
tX205,68253,1472,29467,0.33616261
tX206,67452,1233,29746,0.41255305
tX207,65878,869,30048,0.46817065
tX208,65424,349,30221,0.48157248
tX209,65708,43,30286,0.57203484
tX210,69259,0,30018,0.75429975
tX211,68070,0,28952,0.92316283
tX212,64639,0,27715,1
tX213,61547,0,26195,0.9412553
tX214,59385,0,24024,0.76100067
tX215,56093,0,21960,0.58431986
tX216,52122,0,21081,0.47554166
tX217,48252,0,20050,0.34867099
tX218,45822,0,20224,0.19410319
tX219,43749,0,20574,0.10297074
tX220,43318,0,21959,0.04936341
tX221,43257,0,23278,0.02859057
tX222,44124,0,24361,0.02970739
tX223,45226,0,26227,0.11279875
tX224,49437,0,27409,0.27764128
tX225,53615,53,28351,0.52579853
tX226,55658,548,28658,0.46012955
tX227,57364,2016,29050,0.3473308
tX228,59478,4229,29566,0.27697119
tX229,59609,5276,29488,0.33616261
tX230,58233,4539,29096,0.41255305
tX231,56549,2757,28933,0.46817065
tX232,55141,960,28551,0.48157248
tX233,56023,84,28593,0.57203484
tX234,59826,0,28424,0.75429975
tX235,60016,0,28027,0.92316283
tX236,58611,0,27645,1
tX237,54983,0,27103,0.9412553
tX238,53490,0,26449,0.76100067
tX239,52840,0,25387,0.58431986
tX240,50440,0,24820,0.47554166
tX241,46824,0,24189,0.34867099
tX242,44111,0,23988,0.19410319
tX243,42367,0,23330,0.10297074
tX244,41828,0,23182,0.04936341
tX245,41674,0,23443,0.02859057
tX246,41259,0,23672,0.02970739
tX247,40605,0,24719,0.11279875
tX248,41598,0,25356,0.27764128
tX249,44319,121,26416,0.52579853
tX250,46963,1073,26589,0.46012955
tX251,50445,2466,27327,0.3473308
tX252,52695,3408,27817,0.27697119
tX253,52932,4119,28279,0.33616261
tX254,52168,3979,28375,0.41255305
tX255,51072,3024,28598,0.46817065
tX256,50558,1423,28268,0.48157248
tX257,52477,178,28035,0.57203484
tX258,57836,4,28423,0.75429975
tX259,58884,0,28359,0.92316283
tX260,56555,0,28431,1
tX261,54147,0,27819,0.9412553
tX262,52446,0,26804,0.76100067
tX263,52123,0,25466,0.58431986
tX264,49439,0,24901,0.47554166
tX265,47151,0,24647,0.34867099
tX266,45321,0,24316,0.19410319
tX267,44187,0,23360,0.10297074
tX268,43707,0,22493,0.04936341
tX269,44623,0,22247,0.02859057
tX270,48379,0,23050,0.02970739
tX271,57743,0,24835,0.11279875
tX272,64641,0,25685,0.27764128
tX273,67367,80,26315,0.52579853
tX274,67453,554,26725,0.46012955
tX275,68761,1416,27981,0.3473308
tX276,69896,2111,28788,0.27697119
tX277,69798,2349,28975,0.33616261
tX278,69699,2236,29082,0.41255305
tX279,68973,1486,29016,0.46817065
tX280,67689,639,29020,0.48157248
tX281,67784,138,28420,0.57203484
tX282,69275,2,27958,0.75429975
tX283,69375,0,27862,0.92316283
tX284,67583,0,28215,1
tX285,64197,0,28157,0.9412553
tX286,61263,0,27752,0.76100067
tX287,58436,0,26256,0.58431986
tX288,54512,0,24498,0.47554166
tX289,50950,0,22871,0.34867099
tX290,48796,0,21475,0.19410319
tX291,48270,0,20407,0.10297074
tX292,48277,0,20233,0.04936341
tX293,49302,0,21040,0.02859057
tX294,51870,0,22130,0.02970739
tX295,58189,0,23620,0.11279875
tX296,64111,0,24561,0.27764128
tX297,65883,514,25485,0.52579853
tX298,65539,3430,25225,0.46012955
tX299,65799,6925,25302,0.3473308
tX300,67179,9542,25082,0.27697119
tX301,67933,10621,24245,0.33616261
tX302,66960,9432,23038,0.41255305
tX303,65799,6588,22299,0.46817065
tX304,64703,2897,21649,0.48157248
tX305,64422,318,20750,0.57203484
tX306,68409,3,19896,0.75429975
tX307,67335,0,19376,0.92316283
tX308,64116,0,18870,1
tX309,58519,0,17846,0.9412553
tX310,55942,0,18460,0.76100067
tX311,54780,0,18542,0.58431986
tX312,51765,0,17735,0.47554166
tX313,47894,0,16662,0.34867099
tX314,45224,0,15936,0.19410319
tX315,43703,0,14831,0.10297074
tX316,44227,0,14947,0.04936341
tX317,45963,0,15642,0.02859057
tX318,50022,0,17076,0.02970739
tX319,58197,0,19011,0.11279875
tX320,66118,0,21497,0.27764128
tX321,68911,163,22160,0.52579853
tX322,68256,1339,21966,0.46012955
tX323,69626,3025,21477,0.3473308
tX324,69926,3711,21026,0.27697119
tX325,68689,3482,20715,0.33616261
tX326,67969,3149,19175,0.41255305
tX327,66644,2194,16823,0.46817065
tX328,65780,893,14755,0.48157248
tX329,66111,134,14544,0.57203484
tX330,69174,2,14510,0.75429975
tX331,67966,0,14454,0.92316283
tX332,66532,0,14406,1
tX333,62618,0,14850,0.9412553
tX334,59407,0,15062,0.76100067
tX335,57203,0,14987,0.58431986
tX336,53474,0,14692,0.47554166
tX337,49686,0,14542,0.34867099
tX338,47749,0,14655,0.19410319
tX339,46978,0,15427,0.10297074
tX340,47478,0,16946,0.04936341
tX341,48565,0,18733,0.02859057
tX342,51779,0,20635,0.02970739
tX343,59454,0,22749,0.11279875
tX344,66237,0,23806,0.27764128
tX345,69252,154,24891,0.52579853
tX346,69049,963,25241,0.46012955
tX347,70087,2363,25662,0.3473308
tX348,71367,3468,25966,0.27697119
tX349,70490,3587,26272,0.33616261
tX350,69658,3192,25459,0.41255305
tX351,68272,2230,25057,0.46817065
tX352,67488,1008,24968,0.48157248
tX353,67382,170,24959,0.57203484
tX354,69941,5,24877,0.75429975
tX355,69342,0,25593,0.92316283
tX356,68143,0,26396,1
tX357,64399,0,25958,0.9412553
tX358,61048,0,25303,0.76100067
tX359,58223,0,24037,0.58431986
tX360,53518,0,23260,0.47554166
tX361,49927,0,22135,0.34867099
tX362,47116,0,21296,0.19410319
tX363,45559,0,21199,0.10297074
tX364,47119,0,20559,0.04936341
tX365,49165,0,19631,0.02859057
tX366,52740,0,18681,0.02970739
tX367,60040,0,17537,0.11279875
tX368,67144,0,16556,0.27764128
tX369,69109,291,15432,0.52579853
tX370,68231,1736,13545,0.46012955
tX371,68503,3487,12066,0.3473308
tX372,68739,4689,10708,0.27697119
tX373,67506,4719,8966,0.33616261
tX374,65920,3850,7528,0.41255305
tX375,63975,2640,5709,0.46817065
tX376,62889,1213,4298,0.48157248
tX377,63198,174,3697,0.57203484
tX378,66336,4,4131,0.75429975
tX379,65858,0,4339,0.92316283
tX380,63726,0,4408,1
tX381,59494,0,4239,0.9412553
tX382,56087,0,4173,0.76100067
tX383,53800,0,3897,0.58431986
tX384,49894,0,3675,0.47554166
tX385,46568,0,3856,0.34867099
tX386,43992,0,4128,0.19410319
tX387,42916,0,4521,0.10297074
tX388,42647,0,4824,0.04936341
tX389,42754,0,5144,0.02859057
tX390,42439,0,5327,0.02970739
tX391,43168,0,5537,0.11279875
tX392,46932,0,5697,0.27764128
tX393,50985,90,6222,0.52579853
tX394,54019,915,6089,0.46012955
tX395,55764,2493,5519,0.3473308
tX396,56865,4013,4994,0.27697119
tX397,56168,4693,4932,0.33616261
tX398,53979,4339,5283,0.41255305
tX399,52633,3115,5220,0.46817065
tX400,51884,1477,4365,0.48157248
tX401,52632,252,4201,0.57203484
tX402,56941,4,5080,0.75429975
tX403,57997,0,6327,0.92316283
tX404,56134,0,6855,1
tX405,52061,0,6846,0.9412553
tX406,49753,0,7317,0.76100067
tX407,49063,0,7453,0.58431986
tX408,46017,0,7256,0.47554166
tX409,43223,0,7303,0.34867099
tX410,41585,0,7424,0.19410319
tX411,40079,0,7371,0.10297074
tX412,39750,0,7696,0.04936341
tX413,39639,0,7828,0.02859057
tX414,39004,0,7733,0.02970739
tX415,37940,0,7578,0.11279875
tX416,39915,0,7843,0.27764128
tX417,42387,248,7289,0.52579853
tX418,45460,1889,6642,0.46012955
tX419,48180,4115,5861,0.3473308
tX420,50797,5858,5221,0.27697119
tX421,50911,6596,4772,0.33616261
tX422,48860,5979,4172,0.41255305
tX423,47603,4296,3708,0.46817065
tX424,47460,1985,3346,0.48157248
tX425,48007,274,3223,0.57203484
tX426,53252,5,3469,0.75429975
tX427,54900,0,3982,0.92316283
tX428,53503,0,4113,1
tX429,51039,0,3956,0.9412553
tX430,49698,0,3815,0.76100067
tX431,50326,0,3568,0.58431986
tX432,47518,0,3370,0.47554166
tX433,44377,0,3035,0.34867099
tX434,42742,0,2542,0.19410319
tX435,42218,0,2123,0.10297074
tX436,42662,0,1758,0.04936341
tX437,43965,0,1443,0.02859057
tX438,47643,0,1275,0.02970739
tX439,56636,0,1365,0.11279875
tX440,64647,0,1566,0.27764128
tX441,67153,291,1645,0.52579853
tX442,67619,1551,1464,0.46012955
tX443,68361,3178,1188,0.3473308
tX444,68988,4471,902,0.27697119
tX445,68481,4873,766,0.33616261
tX446,68159,4486,744,0.41255305
tX447,67372,3144,729,0.46817065
tX448,66654,1435,816,0.48157248
tX449,66240,237,996,0.57203484
tX450,69215,5,1199,0.75429975
tX451,69121,0,1327,0.92316283
tX452,67480,0,1312,1
tX453,63275,0,1294,0.9412553
tX454,59946,0,1321,0.76100067
tX455,57361,0,1338,0.58431986
tX456,52797,0,1321,0.47554166
tX457,49523,0,1285,0.34867099
tX458,47308,0,1194,0.19410319
tX459,46260,0,1175,0.10297074
tX460,46726,0,1092,0.04936341
tX461,47734,0,971,0.02859057
tX462,50818,0,897,0.02970739
tX463,58543,0,856,0.11279875
tX464,65738,0,865,0.27764128
tX465,68358,93,847,0.52579853
tX466,68480,627,755,0.46012955
tX467,69573,1228,605,0.3473308
tX468,70188,1779,470,0.27697119
tX469,69951,2209,366,0.33616261
tX470,69389,2181,336,0.41255305
tX471,68401,1651,372,0.46817065
tX472,67827,841,385,0.48157248
tX473,67092,162,388,0.57203484
tX474,70059,5,460,0.75429975
tX475,69736,0,522,0.92316283
tX476,67919,0,537,1
tX477,63902,0,563,0.9412553
tX478,60385,0,693,0.76100067
tX479,57421,0,718,0.58431986
tX480,53421,0,789,0.47554166
tX481,49633,0,842,0.34867099
tX482,47416,0,827,0.19410319
tX483,46563,0,854,0.10297074
tX484,46752,0,879,0.04936341
tX485,47699,0,921,0.02859057
tX486,50897,0,1048,0.02970739
tX487,58705,0,1256,0.11279875
tX488,65603,0,1451,0.27764128
tX489,67883,177,1642,0.52579853
tX490,68240,1303,1714,0.46012955
tX491,68672,2660,1477,0.3473308
tX492,69202,3935,1330,0.27697119
tX493,68949,4719,1185,0.33616261
tX494,67912,4367,1239,0.41255305
tX495,66530,3080,1366,0.46817065
tX496,66262,1562,1668,0.48157248
tX497,65984,298,2243,0.57203484
tX498,68467,5,2808,0.75429975
tX499,68849,0,3385,0.92316283
tX500,66977,0,3841,1
tX501,63074,0,3917,0.9412553
tX502,59883,0,3949,0.76100067
tX503,57032,0,4008,0.58431986
tX504,51914,0,3989,0.47554166
tX505,50433,0,3707,0.34867099
tX506,48343,0,3513,0.19410319
tX507,47151,0,3403,0.10297074
tX508,47265,0,3349,0.04936341
tX509,48267,0,3452,0.02859057
tX510,51010,0,3680,0.02970739
tX511,58315,0,3665,0.11279875
tX512,65376,0,3528,0.27764128
tX513,67708,150,3391,0.52579853
tX514,67842,854,3092,0.46012955
tX515,66925,1747,2690,0.3473308
tX516,69237,2433,2357,0.27697119
tX517,68789,2471,2065,0.33616261
tX518,67170,2122,1958,0.41255305
tX519,66328,1519,1914,0.46817065
tX520,66729,682,1903,0.48157248
tX521,66277,123,2010,0.57203484
tX522,69006,6,2220,0.75429975
tX523,69506,0,2358,0.92316283
tX524,67158,0,2306,1
tX525,63027,0,2177,0.9412553
tX526,59422,0,2106,0.76100067
tX527,56530,0,1938,0.58431986
tX528,52883,0,1801,0.47554166
tX529,50468,0,1668,0.34867099
tX530,48414,0,1572,0.19410319
tX531,47354,0,1493,0.10297074
tX532,47701,0,1477,0.04936341
tX533,48694,0,1517,0.02859057
tX534,51365,0,1426,0.02970739
tX535,58458,0,1425,0.11279875
tX536,65550,0,1399,0.27764128
tX537,67899,45,1262,0.52579853
tX538,67965,349,1051,0.46012955
tX539,68975,816,924,0.3473308
tX540,69303,1273,831,0.27697119
tX541,68673,1484,797,0.33616261
tX542,67528,1399,813,0.41255305
tX543,66275,1023,830,0.46817065
tX544,65528,506,873,0.48157248
tX545,65568,98,1021,0.57203484
tX546,68452,6,1071,0.75429975
tX547,68292,0,1203,0.92316283
tX548,65939,0,1457,1
tX549,61887,0,1936,0.9412553
tX550,58756,0,2627,0.76100067
tX551,57115,0,3298,0.58431986
tX552,54343,0,3924,0.47554166
tX553,51485,0,4410,0.34867099
tX554,48829,0,4818,0.19410319
tX555,49604,0,5541,0.10297074
tX556,50037,0,6644,0.04936341
tX557,49693,0,7357,0.02859057
tX558,47668,0,7515,0.02970739
tX559,45995,0,7918,0.11279875
tX560,48722,0,8095,0.27764128
tX561,51428,155,7917,0.52579853
tX562,55079,736,7598,0.46012955
tX563,57503,1219,7062,0.3473308
tX564,59552,1729,6186,0.27697119
tX565,59125,2016,5429,0.33616261
